Max Height Percentage, Count, Total Collision Count, Time increment tau[s], MaxH, StartH, Count of y_0' < y_max 
10.60%,334,,,,,
10.61%,310,,,,,
10.62%,298,,,,,
10.63%,282,,,,,
10.64%,277,,,,,
10.65%,300,,,,,
10.66%,335,,,,,
10.67%,308,,,,,
10.68%,323,,,,,
10.69%,306,,,,,
10.70%,328,,,,,
10.71%,316,,,,,
10.72%,353,,,,,
10.73%,283,,,,,
10.74%,315,,,,,
10.75%,278,,,,,
10.76%,302,,,,,
10.77%,302,,,,,
10.78%,311,,,,,
10.79%,295,,,,,
10.80%,308,,,,,
10.81%,345,,,,,
10.82%,314,,,,,
10.83%,308,,,,,
10.84%,309,,,,,
10.85%,319,,,,,
10.86%,335,,,,,
10.87%,302,,,,,
10.88%,305,,,,,
10.89%,304,,,,,
10.90%,284,,,,,
10.91%,316,,,,,
10.92%,290,,,,,
10.93%,319,,,,,
10.94%,314,,,,,
10.95%,316,,,,,
10.96%,314,,,,,
10.97%,332,,,,,
10.98%,324,,,,,
10.99%,301,,,,,
11%,341,,,,,
11.01%,310,,,,,
11.02%,319,,,,,
11.03%,295,,,,,
11.04%,301,,,,,
11.05%,318,,,,,
11.06%,334,,,,,
11.07%,329,,,,,
11.08%,314,,,,,
11.09%,329,,,,,
11.10%,322,,,,,
11.11%,332,,,,,
11.12%,334,,,,,
11.13%,290,,,,,
11.14%,298,,,,,
11.15%,325,,,,,
11.16%,311,,,,,
11.17%,312,,,,,
11.18%,342,,,,,
11.19%,319,,,,,
11.20%,328,,,,,
11.21%,317,,,,,
11.22%,319,,,,,
11.23%,328,,,,,
11.24%,325,,,,,
11.25%,307,,,,,
11.26%,295,,,,,
11.27%,315,,,,,
11.28%,331,,,,,
11.29%,330,,,,,
11.30%,353,,,,,
11.31%,337,,,,,
11.32%,325,,,,,
11.33%,350,,,,,
11.34%,320,,,,,
11.35%,273,,,,,
