t,x,dx,d2x,y,dy,d2y,p,V,S1,S2,F
0.005475,-0.009832790601,-1.058983431815,625.140823439444,0.000671563422,0.425184882133,185.643055097079,0.000456835302,113473.50944966903,0.009290682201495471,0.0013794896790872801,17.583305509707902
0.00548,-0.009838085518,-1.055857727698,626.418044845686,0.000673689346,0.426113097408,185.7881999317,0.000456788999,113489.61311812636,0.009298513459848036,0.0013789146816256092,17.597819993170003
0.005485,-0.009843364807,-1.052725637474,627.693755108828,0.000675819911,0.427042038408,185.932554839066,0.000456742805,113505.6827819323,0.009306327017865011,0.0013783386759196456,17.6122554839066
0.00549,-0.009848628435,-1.049587168698,628.96793838842,0.000677955121,0.427971701182,186.076119617993,0.000456696721,113521.71806681778,0.009314122781409384,0.0013777616624234866,17.6266119617993
0.005495,-0.009853876371,-1.046442329006,630.240562807575,0.00068009498,0.42890208178,186.218889278887,0.000456650747,113537.71894630812,0.009321900659268766,0.0013771836415955713,17.6408889278887
0.0055,-0.009859108583,-1.043291126192,631.511612541759,0.00068223949,0.429833176226,186.360863704603,0.000456604884,113553.68504580871,0.009329660558715903,0.0013766046144385734,17.6550863704603
0.005505,-0.009864325039,-1.040133568129,632.781055496181,0.000684388656,0.430764980545,186.502037881856,0.000456559133,113569.61599043802,0.009337402386989354,0.0013760245811490913,17.6692037881856
0.00551,-0.009869525707,-1.036969662852,634.048859491534,0.000686542481,0.431697490734,186.64240687818,0.000456513495,113585.51140502942,0.00934512605129465,0.001375443542467963,17.683240687818
0.005515,-0.009874710555,-1.033799418555,635.314992264596,0.000688700968,0.432630702768,186.781965769011,0.00045646797,113601.37126255163,0.009352831458805437,0.0013748614991399089,17.697196576901103
0.00552,-0.009879879552,-1.030622843594,636.579437876896,0.000690864122,0.433564612597,186.920714352702,0.000456422558,113617.19553602488,0.009360518518152307,0.0013742784513745786,17.7110714352702
0.005525,-0.009885032666,-1.027439946405,637.842180275676,0.000693031945,0.434499216169,187.058652541913,0.000456377261,113632.98350135141,0.009368187136451656,0.0013736944001945266,17.7248652541913
0.00553,-0.009890169866,-1.024250735504,639.103170813576,0.000695204441,0.435434509432,187.195770607588,0.000456332079,113648.73513115775,0.009375837222281145,0.0013731093460872396,17.7385770607588
0.005535,-0.00989529112,-1.02105521965,640.362393308741,0.000697381614,0.436370488285,187.332068403391,0.000456287012,113664.45039812443,0.009383468682704559,0.0013725232895445655,17.7522068403391
0.00554,-0.009900396396,-1.017853407683,641.619831566878,0.000699563466,0.437307148627,187.467545860979,0.000456242061,113680.12892615328,0.009391081424759619,0.0013719362316007243,17.7657545860979
0.005545,-0.009905485663,-1.014645308525,642.875453090803,0.000701750002,0.438244486356,187.602198022627,0.000456197227,113695.77033887124,0.009398675356951817,0.0013713481724866947,17.7792198022627
0.00555,-0.00991055889,-1.01143093126,644.129225303871,0.000703941224,0.439182497346,187.736020049128,0.000456152511,113711.37425963227,0.009406250387766919,0.0013707591132446002,17.7926020049128
0.005555,-0.009915616045,-1.008210285133,645.381115448142,0.000706137136,0.440121177446,187.869007036074,0.000456107913,113726.94066059835,0.009413806424177504,0.001370169054382685,17.805900703607403
0.00556,-0.009920657096,-1.004983379556,646.631107130716,0.000708337742,0.441060522481,188.001158868302,0.000456063433,113742.46951398946,0.009421343373134815,0.0013695779964135657,17.8191158868302
0.005565,-0.009925682013,-1.00175022402,647.879184153993,0.000710543045,0.442000528275,188.132475472156,0.000456019073,113757.960093599,0.009428861144563134,0.0013689859401226417,17.832247547215598
0.00557,-0.009930690764,-0.998510828099,649.125297149965,0.000712753048,0.442941190652,188.262947220693,0.000455974833,113773.41237127506,0.00943635964538051,0.0013683928862992113,17.8452947220693
0.005575,-0.009935683318,-0.995265201613,650.369429698384,0.000714967754,0.443882505388,188.392574055483,0.000455930713,113788.82631892628,0.009443838783985772,0.0013677988357364717,17.8582574055483
0.00558,-0.009940659644,-0.992013354465,651.611565370679,0.000717187167,0.444824468258,188.521355885952,0.000455886715,113804.20120955056,0.009451298468765091,0.0013672037889634696,17.8711355885952
0.005585,-0.009945619711,-0.988755296638,652.851654673312,0.000719411289,0.445767075037,188.649283148018,0.000455842839,113819.5370146936,0.009458738608093176,0.0013666077470494934,17.8839283148018
0.00559,-0.009950563487,-0.985491038365,654.089680957483,0.000721640124,0.446710321453,188.776355766598,0.000455799085,113834.8337059643,0.009466159108832991,0.001366010710531633,17.8966355766598
0.005595,-0.009955490942,-0.98222058996,655.325627774541,0.000723873676,0.447654203232,188.902573671422,0.000455755454,113850.09090530759,0.00947355988083941,0.0013654126799513638,17.9092573671422
0.0056,-0.009960402045,-0.978943961821,656.559461987061,0.000726111947,0.4485987161,189.027932098023,0.000455711947,113865.3082344114,0.009480940832459893,0.0013648136563896825,17.9217932098023
0.005605,-0.009965296765,-0.975661164511,657.791150384555,0.000728354941,0.44954385576,189.152426216806,0.000455668564,113880.48566459605,0.009488301872035221,0.0013642136403961157,17.9342426216806
0.00561,-0.009970175071,-0.972372208759,659.020676296194,0.00073060266,0.450489617891,189.276056052407,0.000455625306,113895.62281728101,0.009495642907900701,0.0013636126330592291,17.946605605240702
0.005615,-0.009975036932,-0.969077105378,660.248006417239,0.000732855108,0.451435998171,189.398816790217,0.000455582174,113910.7193136338,0.009502963848387355,0.0013630106349366029,17.9588816790217
0.00562,-0.009979882318,-0.965775865346,661.473107476579,0.000735112288,0.452382992255,189.520703661801,0.000455539168,113925.77512469828,0.009510264603330381,0.001362407646857292,17.9710703661801
0.005625,-0.009984711197,-0.962468499809,662.695962585001,0.000737374203,0.453330595773,189.641716675941,0.000455496289,113940.78987138225,0.009517545079550589,0.0013618036696542593,17.983171667594103
0.00563,-0.009989523539,-0.959155019996,663.91653838091,0.000739640856,0.454278804356,189.761851079534,0.000455453538,113955.763174347,0.009524805186882602,0.0013611987041643764,17.9951851079534
0.005635,-0.009994319314,-0.955835437304,665.13480143413,0.00074191225,0.455227613611,189.881102128771,0.000455410915,113970.69500437222,0.009532044835165416,0.0013605927512284233,18.0071102128771
0.00564,-0.009999098491,-0.952509763297,666.350734852078,0.000744188388,0.456177019122,189.999469854098,0.000455368421,113985.58498186833,0.009539263932732613,0.00135998581169109,18.0189469854098
0.005645,-0.01000386104,-0.949178009623,667.564305118106,0.000746469273,0.457127016471,190.116949527334,0.000455326056,114000.4330775242,0.00954646238943273,0.0013593778864009764,18.0306949527334
0.00565,-0.01000860693,-0.945840188097,668.775495286699,0.000748754908,0.458077601219,190.233541192525,0.000455283821,114015.23891150458,0.00955364011360945,0.0013587689762105926,18.0423541192525
0.005655,-0.010013336131,-0.942496310621,669.984271756935,0.000751045296,0.459028768925,190.349240137284,0.000455241717,114030.0021037365,0.009560797015125735,0.0013581590819763596,18.053924013728402
0.00566,-0.010018048613,-0.939146389262,671.190600862477,0.00075334044,0.459980515126,190.46404165881,0.000455199744,114044.72262466443,0.009567933003854999,0.00135754820455861,18.065404165881002
0.005665,-0.010022744345,-0.935790436258,672.394465558259,0.000755640343,0.460932835334,190.577945823452,0.000455157903,114059.40009397897,0.009575047988166649,0.001356936344821587,18.0767945823452
